Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Karl,Magnusson,Villagatan 8,Göteborg,57914,Sverige,SE,19720209-0458,+46,0092-552 22,1972-02-09,True
Kristina,Eriksson,Stationsvägen 8,Linköping,95126,Sverige,SE,19900525-5096,+46,+46 (0)8 133 035 90,1990-05-25,True
Emil,Räisänen,Saparontie 95,Luumäki,75361,Finland,FI,19980918-879M,+358,0016627200,1998-09-18,True
Tim,Reid,Calvin Extension 7781,Meganland,71327,Danmark,DK,19781016-8148,+45,494.911.6552,1978-10-16,True
Janne,Danielsen,Ellingsentunet 8,Gundersen,5866,Norge,NO,19450322-2397,+47,73 73 48 69,1945-03-22,True
Lisa,Lambert,Valencia Roads 874,Foxtown,09319,Danmark,DK,19990113-9642,+45,(267)589-4025x17829,1999-01-13,True
Ingrid,Persson,Kvarnvägen 893,Landskrona,22478,Sverige,SE,19461202-3098,+46,080-13 68 95,1946-12-02,True
Emanuel,Löfgren,Nygatan 11,Skellefteå,72938,Sverige,SE,19620318-9151,+46,088-055 23 45,1962-03-18,True
Per,Haugen,Ellingsengropa 989,Svendsen,6206,Norge,NO,19730316-1628,+47,+4727184080,1973-03-16,True
Michael,Huynh,Roberts River 9964,Rayside,90863,Danmark,DK,19680716-3108,+45,6227426236,1968-07-16,True
Jonas,Mikkelsen,Strømhøgda 311,Audvik,6777,Norge,NO,19810203-0502,+47,75 02 07 69,1981-02-03,True
Anthony,Stevens,Amy Skyway 3450,South Brittanymouth,31788,Danmark,DK,19450814-3002,+45,729-202-6563x77080,1945-08-14,True
Reidun,Engen,Eideringen 51,Sivertsen,0598,Norge,NO,19700110-0805,+47,+47 00 31 42 57,1970-01-10,True
Kristina,Olofsson,Skolgränd 21,Kalmar,88723,Sverige,SE,19790924-2800,+46,+46 (0)349 108 89,1979-09-24,True
Erik,Lundqvist,Ängsvägen 2,Varberg,86534,Sverige,SE,19810216-3978,+46,+46 (0)8 526 845 04,1981-02-16,True
Sissel,Sandvik,Haugjordet 44,Karlsen,0310,Norge,NO,19651213-8733,+47,90484438,1965-12-13,True
David,Kim,Weber Track 7695,Schwartzton,81037,Danmark,DK,19920711-3748,+45,870-220-7557,1992-07-11,True
Reidun,Karlsen,Christensenekra 92,Håkonvær,1561,Norge,NO,19530605-6801,+47,40528025,1953-06-05,True
Michael,Russell,Bryan Shore 98793,Henrystad,94157,Danmark,DK,19711108-4188,+45,851-664-3759x066,1971-11-08,True
Tage,Karlsson,Aspgatan 22,Lund,73583,Sverige,SE,19760929-1408,+46,017-610 73 54,1976-09-29,True
Gunnar,Augustsson,Granstigen 266,Skövde,32841,Sverige,SE,19400803-1984,+46,08-418 623 20,1940-08-03,True
Britt,Abrahamsen,Pedersenskogen 27D,Terjenes,7249,Norge,NO,19911122-2469,+47,463 11 661,1991-11-22,True
Niklas,Olsson,Granvägen 172,Motala,80707,Sverige,SE,19720519-5184,+46,08-925 45 79,1972-05-19,True
Kenneth,Larsson,Storvägen 566,Karlstad,83085,Sverige,SE,19571005-2655,+46,+46 (0)288 262 70,1957-10-05,True
Bradley,Pineda,Willis River 78382,Port Timothy,86867,Norge,DK,19991222-3635,+45,862-946-0635,1999-12-22,True
Finn,Mathisen,Lietunet 5,Hansen,4651,Norge,NO,19941227-1939,+47,+4744425670,1994-12-27,True
